Text,Review
在经历了第二次世界大战及战后的经济衰退后，美国资本市场翻开了新的篇章。1948年的“柏林危机”（Berlin Crisis）以及“马歇尔计划”（The Marshall Plan）的推出，预示着“冷战”（Cold War）已经开始。,0
1950年“朝鲜战争”的爆发，把美国再度拖回了战争经济的状态，各项经济政策以保障国防生产为首要任务。1951年，美国联邦储备系统（The Federal Reserve System，以下简称美联储）正式从美国财政部中独立出来，此后成为对美国股市以及全球资本市场最有影响力的机构。,0
虽然20世纪30年代美国的国内外风波事件不断，但第二次世界大战后美国经济强劲的发展势头使得美国股市持续走高。1954年11月23日，道琼斯工业指数在时隔25年之后终于超过了1929年9月3日381点的历史新高（见图1-1）。,1
1954年11月23日，道琼斯工业指数在时隔25年之后终于超过了1929年9月3日381点的历史新高（见图1-1）。,1
这是一个重工业的时代，战争经济使得国防军工股、周期股表现出色。,1
第二次世界大战后，中东地区油田的开发使得石油公司的经营大放异彩，低油价以及美国郊区化居住文化的兴起使得汽车行业高速成长。,1
消费品板块表现普遍较差，20世纪50年代美国居民不得不面对高达91%的个人所得税最高边际税率。1948年进入第二次世界大战后的第三年，经济问题中的首要任务依然是对抗通胀。,2
但1948年初的抗通胀有其特殊性。一方面，由于第二次世界大战后消费品价格大涨，劳动者要求提高工资的诉求高涨，劳资纠纷和罢工不断出现，一直持续到20世纪50年代前期；而提高工资又会进一步加剧通胀。另一方面，1948年初又是一个通胀和通缩力量交织出现的过程，通胀的绝对水平非常高，消费者物价指数（CPI）达到约10%，却是在一个快速回落的过程中。,2
为了抑制通胀，1948年1月9日，美联储宣布加息，将贴现利率从1.0%提高到1.25%，这是过去10年中第一次提高贴现利率。,0
同年1月23日，美联储又要求商业银行的存款保证金比例从20%提高到22%，货币政策进一步收缩。,0
国际方面，同年1月发生了法国法郎危机，法郎对美元贬值44.45%。,2
同年2月20日，捷克斯洛伐克爆发了“二月事件”。,0
在此情况下，美国股市从1948年1月至2月上半月持续下跌，道琼斯工业指数最低下探到164点，跌幅达9%。,2
其中一个值得讨论的问题是，当时大宗商品价格大幅回落，对股市是一个很大的利空。,0
商品价格回落一方面会减少企业盈利；另一方面可以消除通胀压力，特别是在通胀水平比较高的时候。,2
但需要注意的是，在1951年美联储独立以前，美联储有责任维持美国国债低利率以方便政府融资，所以当时美国国债利率被管控得非常低，商品价格的回落不能造成利率大幅回落，反而对企业盈利影响较大。,2
这种情况的出现是1948年1月至2月股市大跌的基本面原因。,2
从1948年2月中旬到3月中旬，股票市场在低位震荡徘徊。,2
同年3月5日，美联储修改了《T规则》（Regulation T）和《TU规则》（Regulation U），允许市场投资者进行保证金交易，保证金比例为73%。,0
同年3月底，减税方案被强制通过，股市大涨。,1
《减税法案》（即《1948收入法案》，Revenue Act of 1948）降低个人所得税率，提升个人所得税扣除项目的减免额，并给予65岁以上人群更高的扣除额度等。该法案最初被哈里·杜鲁门（Harry S. Truman）总统否决，但随后又被共和党控制的众议院以2/3多数紧急通过。同年4月3日，哈里·杜鲁门总统签署了“马歇尔计划”，股市上涨的热情进一步激发。,1
股市行情从同年3月下旬启动，一直持续到6月中旬，道琼斯工业指数涨幅近15%。,1
同年6月1日，美联储进一步收紧货币政策，将商业银行的存款准备金比率从22%上调至24%。,0
1948年6月下旬开始，国际局势发生了重大变化，第一次“柏林危机”爆发。,0
同年6月18日，美、英、法三国通知苏联，决定在整个德国西部占领区实行货币改革，成为第一次“柏林危机”的导火索。,0
同年6月19日，苏联停止了所有占领区的铁路客运交通和进入苏联占领区的公路交通，同时发表声明指出，德国西部占领区发行的货币不准在苏联占领区和柏林流通,0
同年6月24日，苏联实行了全面的地面封锁，德国西部占领区与柏林间的铁路交通全部中断。,0
随后，美国实施空运，向柏林250万居民大规模空运粮食及各种日用品。,0
“柏林危机”造成了国际局势的骤然紧张，此时“冷战”已经在两个超级大国间展开，人们害怕出现第三次世界大战。,0
。同时，美国国内经济方面也出现了问题，尽管商品价格虽然有了明显下降，但是直到1948年8月CPI依然下不去，导致货币政策又进一步收紧。,2
同年8月12日，美联储再度加息，将贴现利率从1.25%上升至1.5%。,0
在随后几天，美联储又对包括居民消费信贷在内的货币政策进行了调整。,0
股市从同年6月中旬一直到9月底震荡下行，道琼斯工业指数从最高193点下跌至176点。,2
从1945年到1948年9月底，国际形势有所好转，而且从第二季度到第三季度，道琼斯工业指数最高回升至190点。,1
但反弹在同年11月戛然而止，造成这一切的原因是哈里·杜鲁门连任了美国总统。1948年11月2日，哈里·杜鲁门总统在白宫赢得了多数票，击败了共和党总统候选人托马斯·E·杜威（Thomas E. Dewey）。由于大选前民主党已经连续执政16年，大部分美国人都认为应该是政党轮换的时候。,2
1948年的总统大选，可谓是美国大选史上最戏剧性的逆转。《芝加哥论坛报》（Chicago Tribune）此前已经印好了头条，可结果却让人大跌眼镜。哈里·杜鲁门在1948年大选中连任后，刻意在新闻发布会上拿出《芝加哥论坛报》前一日的头版“杜威击败杜鲁门”。哈里·杜鲁门当选总统的经济政策层面问题在于，民主党主张更多的政府干预和社会福利，减税就面临很大压力；而共和党主张第二次世界大战后政府应该减少干预，从而减少政府支出，进而减税。,0
哈里·杜鲁门当选总统意味着减税的步伐没有那么快，显然令更多的工商业界人士失望。,2
1948年11月，美国股市大幅下挫，道琼斯工业指数从190点最低下跌至171点，跌幅达10%。,2
此后，股市在12月企稳回升，收复了一些“失地”。,1
道琼斯工业指数1948年底最终收于177点，全年下跌2.1%。,2
“公平施政”纲领宣布后，美股连拉了几根阳线，随后从1949年下跌的影响，股市再度下跌，道琼斯工业指数最低下探至171点。1,2
1949年3月开始货币政策有所松动。,0
同年3月2日，美联储将消费者分期贷款的最长时限从15~18个月提高到21个月，同时将除汽车外其他消费品的最低付款比例从20%下降至15%。,0
同年3月28日，美联储将证券交易的保证金要求比例从75%下调至50%，这使得市场出现了两天的“脉冲”式上涨。,1
同年4月4日，美国、加拿大等12国在华盛顿签署了《北大西洋公约》（North Atlantic Treaty），决定成立北大西洋公约组织（North Atlantic Treaty Organization，NATO）。同年8月24日各国完成批准手续，该组织正式成立。,0
同年4月22日，美联储进一步放松信贷政策，将除汽车外其他商品的最低付款比例下调至10%，将最长贷款期提高到24个月。,0
同年4月28日，美联储降低了商业银行的存款准备金比例。,0
股市在3~4月基本保持横盘震荡的态势。,0
1949年5月开始，市场出现大跌，从1949年5月初一直到6月中旬，道琼斯工业指数从177点跌至160点。,2
这期间，1949年5月12日柏林封锁解除了。,0
股市下跌的主要原因是各项经济数据的全面下滑，美联储公布的工业生产指数大幅下滑，让市场所有人感受到了经济衰退。,2
实际上，按照美国国家经济研究局（National Bureau of Economic Research，NBER）的事后定义，这一轮美国经济衰退从1948年11月就开始了，但从当时市场的反应来看，投资者是后知后觉的。,0
这可能与经济统计数据的发达程度与普及率有很大关系，美国以国内生产总值（gross domestic product，GDP）为核心的国民经济统计数据体系差不多是从1947年开始才有的，当时是在初期。,0
而随着后续美国经济数据统计的不断完善和普及，市场对经济衰退和复苏的反应越来越领先和提前。,0
到1949年6月，大宗商品价格指数开始见底回升了，股市底部领先经济底部出现好转。,1
同年8月5日，美联储再度降低了商业银行的存款准备金要求比例。,0
到同年8月中旬，关于减税的讨论越来越多，呼吁减税的方案包括消除股利的双重征税（企业盈利发放股利还要征收个人所得税，为双重征税）、降低个人所得税最高税率、提高所得税抵免项目等，减税的讨论促使股市进一步上涨。,1
这期间一个重要的负面因素是施贫纠纷，虽然此类问题持续不断，但对股市的影响基本都是干扰性质的，没有产生趋向性的影响。,0
1949年杜鲁门政府对纠纷和罢工的态度基本是不干预，让他们自行解决。,0
1949年9月15日，《1949年住房法》（Housing Act of 1949）正式通过，它是“公平施政”纲领下的重要法案。,0
《1949年住房法》是第二次世界大战后遍及美国大城市的城市更新运动的起点。,0
法案得到了联邦政府、地方政府和房地产开发商的支持，对开展贫民区清理与重建、建造公共住房和明确政府与私人合作开发模式三个方面做出明确规定，对第二次世界大战后美国城市走向产生了深远的影响。,0
1949年9月18日，英国政府宣布英镑贬值30.3%，由1英镑兑换4.03美元贬至2.8美元，英镑贬值使英镑区国家和法国、比利时、芬兰、加拿大、丹麦、瑞典和埃及等24个国家都受到影响，在几天内也相继宣布本国货币贬值。,0
受此影响，美股大跌了两天。,2
同年9月23日，苏联成功研制出原子弹。,2
同年10月以后，美国经济走出衰退，而且是在一个很低的通胀水平下实现的，股市继续上涨。,0
随着经济数据的不断好转以及许多劳动争议问题的解决，美国股市持续上涨，收盘于全年最高点。,1
到1950年底，道琼斯工业指数收于200点，1949年全年涨幅12.9%。进入1950年，美联储进一步放松信贷政策，将除汽车外其他商品的最低付款比例下调至10%，将最长贷款期提高到24个月。,1
1950年开始经济形势变得越来越好，美国工业生产指数同比增速从1949年下半年开始快速回升，到1950年2月增速正式转正且继续快速大幅上行。,1
同时，至少在同年上半年，通货膨胀还不会成为制约经济发展的主要问题。,1
此外，当时市场对于美国联邦政府的减税也有着很强的预期，因为第二次世界大战已经结束，政府不再需要这么多的国防开支，从而可以大规模地减税，减税可以给上市公司带来巨大的利润收益。,0
经济好转、通胀低位、减税预期，使得股票市场在1950年上半年持续上涨，虽然这期间也有一些煤矿工人罢工等负面冲击，但并不影响大局，道琼斯工业指数从年初的199点左右最高到同年6月上旬上涨至228点，半年涨幅约14.6%。,0
1950年的转折点出现在同年6月，1950年6月25日“朝鲜战争”爆发，受此影响，美股出现了大幅下跌。,1
到1950年7月13日，道琼斯工业指数最低跌至197.4点，回吐了上半年的全部涨幅。,2
1950年下半年影响美国股市的因素主要有三个方面：一是美国应对“朝鲜战争”所做的动员；二是为应对通货膨胀上行货币政策持续收紧；三是经济形势不断好转，企业利润大幅增加。,2
为应对“朝鲜战争”，美国国会（United States Congress）于1950年9月8日批准颁布了《国防生产法案》（The Defense Production Act），该法案明确规定了有关国防生产的优先顺序，确立了物资与设施的分配体制和征收权，同时授权总统可以控制物价、工资和消费信贷，以增加国防生产。,0
同年9月23日，美国通过了《1950年收入法案》（Revenue Act of 1950），该法案取消了个人所得税中的部分扣除项目，同时把企业所得税税率最高档从38%上调至45%。,0
年初的减税预期一下子逆转变成了加税。,0
同年12月16日，哈里·杜鲁门（Harry S. Truman）总统宣布美国进入紧急状态。,0
美国的通货膨胀从1950年下半年开始出现了加速上升的趋势，在战争背景下通货膨胀有愈演愈烈的态势。,2
为应对通胀，美联储从1950年下半年开始收紧货币政策。同年8月18日，美联储宣布将贴现利率从1.5%上调至1.75%。,0
同年9月9日，美联储收紧了房地产信贷政策，同年9月18日，美联储进一步收紧了消费者分期贷款信贷政策。,0
同年12月29日，美联储将活期存款准备金率上调2%以及定期存款准备金率上调1%。,0
价格管制、征税、货币政策收紧，无疑对股市都是极大的负面影响，但市场表现却在1950年7月大跌之后逐步回升，并超过了同年6月的高点。,1
股市上涨的主要原因就是当时经济实在太好了，企业利润大幅增加。,1
美国经济在1950年下半年加速上行，工业生产指数在同年8月超过了1944年6月的战时最高水平，创下历史新高，到同年10月工业生产指数同比增速已经接近30%。,1
道琼斯工业指数1950年底最终收于235.4点，全年涨幅17.5%。,1
年初美国PPI同比在18%以上、CPI同比在9%以上，这使得美国财政部和美联储之间的分歧不断加大。,0
美国财政部希望继续保持较低的国债融资利率，而在此之前作为隶属于财政部的美联储，需要负担维持国债低利率的职责，这就需要美联储不断在市场中投放货币购买美国国债以维持低利率，而这样做就使得美联储完全无法通过货币政策来遏制通货膨胀。,0
在经过一系列的争论与协商之后，1951年3月4日《财政部-联邦储备协议》（Treasury-Federal Reserve Accord）正式出台。,0
从此刻开始，美联储不再隶属于美国财政部，美联储正式以独立的中央银行身份开始运作。,0
美联储不再负责维持美国国债低利率，此后货币政策开始完全独立，美联储开始着手调节货币供应以保持经济稳定运行。,0
1951年美联储独立，标志着美联储及其货币政策将成为影响美国经济的重要主力。但当时，应该说美联储的独立对于股票市场是一个明显的利空，道琼斯工业指数在1951年3月中出现了一波急剧的下跌。,2
利空的原因是多方面的，一是美联储放弃维持国债低利率后，利率出现了明显上行；二是美联储减少二级市场购买国债意味着货币政策在进一步收紧；三是对于持有大量美国国债的金融机构而言，国债利率上行意味着存量债券资产的价值下跌,0
从1951年的第二季度到第三季度，整个美国经济基本面出现了高位回落，工业生产和通货膨胀同比增速均出现了显著回落。,1
因此，从1951年2月至6月，股市和企业所得税税率的变化，使得市场在同年10月和11月出现了明显的调整，同年12月市场小幅回升。,1
道琼斯工业指数年底最终收于269点，1951年全年涨幅14.4%。,1
进入1952年，美国经济状况并不是很好。一方面，由于《国防生产法案》的种种限制以及各种收缩措施，工业生产同比增速在同年上半年出现了负增长，同时商品价格也在持续回落；另一方面，由于持续上升的企业所得税税率，企业的税后利润大幅减少，在同年上半年出现了同比增速的大幅下降。,2
此外，在1952年上半年对股市形成重大压制的因素是钢铁工人的罢工运动。,0
美国钢铁工会在1951年底提出希望提高工人工资，但被雇主方拒绝，于是工会准备罢工。,0
1952年1月，在哈里·杜鲁门总统的呼吁下，美国钢铁工人推迟了罢工，随即开始了一系列谈判，但最终没有谈拢。,0
到1952年4月4日，谈判彻底破裂，钢铁工人决定在同年4月9日举行全国范围的罢工。,0
由于当时“朝鲜战争”并未完全结束，如发生全国范围的钢铁工人罢工，后果可能会很严重。,0
1952年4月8日，离大罢工不到一天的时间，哈里·杜鲁门总统决定与钢铁工会的领袖商谈，但到了晚上10点半，杜鲁门总统突然改变主意并发表紧急声明，美国政府将在午夜时分接管钢铁厂。,0
在这样的经济和政治形势下，1952年从1月中旬到4月初，道琼斯工业指数出现了显著的下跌。,2
杜鲁门政府接管钢铁厂，最终演变为一场宪法危机。,0
1952年6月2日，美国最高法院以6:3的投票，宣判总统的行动违宪。,0
判决出炉几分钟后，哈里·杜鲁门下令商务部部长立即将钢铁厂还给企业主。,0
钢铁工人大罢工随即开始。,0
接管美国钢铁企业或许是哈里·杜鲁门在总统任期内作出的最大胆、最有争议的决定之一，或许也正因如此，哈里·杜鲁门最终放弃了参选下一届美国总统的计划。,0
同年6月5日，美国钢铁企业劳资双方的谈判重新开始，到同年7月24日，劳资双方正式达成协议，罢工结束。,0
6月16日，房地产信贷管制在两次放松后，市场从1952年8月中旬开始出现了一轮下跌，一直持续到同年10月底。,0
市场从1952年8月中旬开始出现了一轮下跌，一直持续到同年10月底。,0
造成市场下跌的原因是多方面的，一是由于国际局势的影响，“朝鲜战争”时打时谈、同年9月18日日本加入联合国的议案被苏联行使了否决权；二是企业第三季度财务报表开始陆续公布，高赋税对企业盈利的负面影响非常明显；三是在钢铁工人罢工的榜样作用影响下，1952年下半年其他行业的劳资纠纷也日益爆发。,0
1952年11月4日，共和党候选人德怀特·艾森豪威尔以442对89的绝对优势，战胜了民主党候选人阿德莱·史蒂文森，成为美国第34任总统，成为自1932年以来的第一位共和党总统。,0
德怀特·艾森豪威尔总统的当选在当时受到广泛认可，对股市也被视为一种利好。,0
除了他本人出色的个人履历外，对股市而言，更重要的影响可能在于作为一位共和党总统，他的上台可能改变了罗斯福“新政”以来美国政府财政赤字越来越大的局面。,0
市场非常期待德怀特·艾森豪威尔总统上台后能够减少美国政府的财政赤字，从而进行减税，这样可以大幅提高企业的盈利。,0
在这样的预期下，1952年11月和12月市场表现非常好，连续上涨。,1
道琼斯工业指数1952年底最终收于292点，1952年全年涨幅8.4%，连续四年上涨。,1
美国股市在1952年的最后两个月中表现非常不错，一路上涨，因此市场也带着一种乐观的情绪进入了1953年。,1
1953年初，无论是美国政府还是市场都认为经济在不断向好,1
在1953年1月14日，哈里·杜鲁门总统向国会递交的年度经济报告中，预测1953年美国经济将会是“史无前例的繁荣”（unparalleled prosperity），高就业与物价稳定相伴。,0
1953年1月20日，美国第34任总统德怀特·艾森豪威尔就职，也被寄予了很大期望。,0
作为一名共和党总统，市场期待他能够减少政府对经济的干预、控制政府开支，从而进行减税，增加企业利润。,0
同年2月初，德怀特·艾森豪威尔总统取消了全部价格管制和许多价格管控。,0
同年2月20日，美联储将股票交易的保证金要求从75%降低到50%（1951年1月17日上调到75%）。,0
国际上，1953年3月5日，苏联领导人约瑟夫·斯大林去世。,0
虽然1953年初市场对经济的预期非常乐观，新总统上任带来了很好的未来期望，但股市的表现非常一般，从1953年1月至3月中，道琼斯工业指数几乎完全走平，而从同年3月下旬开始一直到6月中旬，股市更是出现了大幅下跌，跌幅为9.6%。,2
造成股市表现不佳的原因可能主要有两个：一是货币政策收紧，导致美国利率大幅上行。,0
1953年1月16日，美联储将贴现利率进一步从1.75%提高到2.0%（1950年8月18日从1.5%提高到1.75%）。,0
受此影响，美国利率大幅上行，到1953年6月左右，无论是国债利率还是商业票据利率都创出了历史新高。,0
二是商品价格的不断下跌，从而导致企业盈利的压力。,0
商品价格指数显示1953年商品价格在持续下跌的情况下继续下跌，这个过程一直持续到1953年10月左右。,2
